sales_method_,years_as_customer_,state_,revenue_mean,revenue_sum,nb_sold_mean,nb_sold_sum
Email,1,California,97.97256756756757,14499.94,9.784810126582279,1546
Email,2,California,97.0771186440678,11455.1,9.765625,1250
Email,4,California,99.73734042553191,9375.31,9.950495049504951,1005
Email and call,1,California,186.1432,9307.16,12.066666666666666,724
Email,2,Texas,98.6987912087912,8981.59,9.840425531914894,925
Email,1,Texas,96.96685393258426,8630.05,9.741935483870968,906
Email,3,California,98.68348837209304,8486.78,9.947368421052632,945
Email,0,California,98.58190476190475,8280.88,9.862068965517242,858
Email,1,New York,98.40770270270271,7282.17,9.89873417721519,782
Email,1,Florida,95.01115942028986,6555.77,9.578313253012048,795
Email and call,2,California,184.93454545454546,6102.84,12.380952380952381,520
Email and call,0,California,190.42999999999998,5712.9,12.736842105263158,484
Email and call,1,Texas,182.6725806451613,5662.85,12.181818181818182,402
Email and call,3,California,181.35354838709677,5621.96,12.03125,385
Email,3,Texas,99.07071428571429,5547.96,9.904761904761905,624
Email,5,California,93.64896551724138,5431.64,9.333333333333334,560
Email,3,New York,96.78418181818182,5323.13,9.620689655172415,558
Call,1,California,50.6221568627451,5163.46,10.085714285714285,1059
Email,0,New York,102.7634,5138.17,10.189655172413794,591
Email,2,New York,95.88584905660377,5081.95,9.637931034482758,559
Email and call,0,Texas,179.04642857142858,5013.3,12.0,360
Email,0,Texas,95.76823529411766,4884.18,9.592592592592593,518
Email,1,Illinois,98.98395833333332,4751.23,9.9,495
Email,3,Florida,99.0627659574468,4655.95,9.903846153846153,515
Email,1,Pennsylvania,96.41208333333333,4627.78,9.795918367346939,480
Email and call,1,New York,191.89374999999998,4605.45,12.74074074074074,344
Email,0,Florida,99.50347826086956,4577.16,9.92,496
Email and call,4,California,180.2724,4506.81,11.964285714285714,335
Email,1,Michigan,99.20555555555555,4464.25,9.956521739130435,458
Email,7,California,95.96021739130435,4414.17,9.680851063829786,455
Email,5,Texas,95.84391304347825,4408.82,9.529411764705882,486
Email and call,2,Texas,191.5508695652174,4405.67,12.8,320
Email,4,Texas,97.70111111111112,4396.55,9.941176470588236,507
Email,1,Ohio,99.18590909090909,4364.18,10.0,480
Email,6,California,97.525,4291.1,9.72,486
Email,2,Florida,100.84428571428572,4235.46,10.10204081632653,495
Email and call,1,Pennsylvania,196.60714285714286,4128.75,13.136363636363637,289
Email and call,4,Texas,174.7713043478261,4019.7400000000002,11.517241379310345,334
Email and call,1,Florida,190.53666666666666,4001.27,12.777777777777779,345
Email and call,0,New York,187.6742857142857,3941.16,12.64,316
Email and call,5,California,187.4452380952381,3936.35,12.173913043478262,280
Email,2,Illinois,96.83333333333333,3776.5,9.69047619047619,407
Email,2,Pennsylvania,98.93605263157895,3759.57,9.85,394
Email and call,1,Ohio,184.823,3696.46,12.454545454545455,274
Call,2,California,48.40657894736842,3678.9,9.6375,771
Email,2,New Jersey,97.74027027027027,3616.39,9.76923076923077,381
Email and call,3,New York,200.87666666666667,3615.7799999999997,13.31578947368421,253
Email,5,Florida,95.12394736842106,3614.71,9.578947368421053,364
Email,2,Georgia,94.97605263157895,3609.09,9.58974358974359,374
Email and call,2,Florida,188.30052631578948,3577.71,12.476190476190476,262
Email and call,3,Texas,188.07842105263157,3573.49,12.473684210526315,237
